date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,linetalis,lineespn,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey,linedunk,lineround,lineteamrnks
11/10/2021,Northern Colorado,67,Pacific,65,0,-3.28,-2.11,-2.1,-2.14,-2.04,-1.09,3.5,-1.64,-2,2.91,-9.1,-7.8,1,0.5,-6.46,,,,,,,,,,-3.4
11/10/2021,Penn St.,75,Youngstown St.,59,18,18.79,19.42,19.39,19.62,18.86,17.7,0,17.06,22,5.36,25.85,14,0,23,5.11,,,,,,,,,,23.5
11/10/2021,Rutgers,73,Lehigh,70,20,24.01,26.53,26.49,26.82,25.72,16.32,-20.5,20.37,28,4.4,30.3,18.4,0,27.3,20.39,,,,,,,,,,21.5
11/10/2021,Seattle,69,Alcorn St.,66,16.5,13.66,12.3,12.18,12.17,12.72,23.08,-15.5,11.42,14,3.43,14.36,9.2,0,12,15.38,,,,,,,,,,15.1
11/10/2021,Seton Hall,93,Fairleigh Dickinson,49,25,22.04,23.29,23.25,23.54,22.59,18.72,-24,20.23,21,3.19,24.32,16.3,0,23.4,19.22,,,,,,,,,,28.6
11/10/2021,Temple,72,Md. Eastern Shore,49,27.5,24.88,25.62,25.17,25.4,26.54,19.82,-27,22.05,25,4.97,24.63,37.7,0,26.8,16.98,,,,,,,,,,22.9
11/10/2021,Texas A&M,64,North Florida,46,16.5,12.76,13.52,13.42,13.41,13.86,5.87,-16,11.81,13,2.87,12.31,11.9,0,10.5,15.95,,,,,,,,,,17.6
11/10/2021,Tulsa,82,Northwestern St.,75,19.5,17.2,17.63,17.52,17.6,17.78,15.75,-19,15.01,14,2.23,17.66,14.2,0,17.9,19.43,,,,,,,,,,21.9
11/10/2021,UNLV,64,Gardner Webb,58,10.5,6.96,7.58,7.57,7.64,7.43,-4.22,-8.5,8.38,4,3.99,5.95,9,0,9.9,8.82,,,,,,,,,,11.5
11/10/2021,Vanderbilt,91,Alabama St.,72,26,21.75,21.85,21.51,21.65,22.62,5.88,-27,17.35,28,6.18,25.46,18.2,0,22.6,29.53,,,,,,,,,,26.4
11/10/2021,Wake Forest,77,William & Mary,59,15,13.07,14.18,14.16,14.32,13.8,8.03,0,9.12,11,3.72,15.78,9.5,0,9.4,20.22,,,,,,,,,,17.3
11/10/2021,Wyoming,85,Detroit,47,5,5.76,4.92,4.92,4.94,4.87,5.88,0,4.78,6,1.17,6.01,6.7,0,6,5.2,,,,,,,,,,8.9
11/12/2021,Alabama,104,South Dakota St.,88,12.5,12.58,10.28,10,10.36,10.08,3.06,1.5,13.72,18,4.36,20.39,11,0,14.3,11.59,,,,15,,,15.51,,,15.3
11/12/2021,Appalachian St.,69,East Tennessee St.,67,2,-2.21,-2.38,-3.67,-2.29,-2.42,1.48,2,-5.98,-1,2.45,-6.87,0.7,0,-3.9,-0.83,,,,5,,,-1.66,,,0.1
11/12/2021,Arizona,104,UT Rio Grande Valley,50,24.5,22.74,23.96,23.88,24.17,23.38,24.32,22,21.56,21,3.52,27.44,18,0,25,14.03,,,,15,,,22.73,,,26.1
